
============================================================
Sheet: 清风抽纸
============================================================
                      0        1   2                                                                                          3
0                    时间      发送人  类型                                                                                         内容
1   2026-03-16 10:00:27  E佛系的悟空8  文字                                                   快❗快❗快❗\n集合❗集合❗\n\n📣📣现在！先由小助理我！带姐姐们呛个好东西⬇
2   2026-03-16 10:00:57      你兔兔  文字                                                                                      什么好东西
3   2026-03-16 10:03:38  E佛系的悟空8  文字                                                                   🍑平.台.贴.补！！天.降好物[庆祝][庆祝]！
4   2026-03-16 10:04:09  E佛系的悟空8  文字                                                                              🌟居家必囤！！消耗品！！！
5   2026-03-16 10:04:44      你兔兔  文字                                                                                 哇[色]纸巾，我需要
6   2026-03-16 10:04:53      苹果派  文字                                                                                上上上，纸巾永远不嫌多
7   2026-03-16 10:06:11  E佛系的悟空8  文字                                         ✅4层加厚✅原浆抽纸！\n\n💥大大大大福莉❗❗❗\n\n放厨房✨ 放客厅 ✨放卫生间✨哪哪都好用~
8   2026-03-16 10:06:17  E佛系的悟空8  文字                                                                       💥关键还是【清风】大簰子❗❗直接冲！！！
9   2026-03-16 10:07:55  E佛系的悟空8  文字  [烟花]清风抽纸 到手3包 禾少 杀 忦  💰3.9~\n\n⭕点击连.接：http://wk1.guerkeji.cn/HfFW4K\n\n[爱心]希望每一次选择都源于你的喜爱
10  2026-03-16 10:08:58      你兔兔  文字                                                                            一包一块三，太划算，抢了[强]
11  2026-03-16 10:10:59      苹果派  文字                                                                             拍了，让我老公也帮忙拍了一单
12  2026-03-16 10:13:05  E佛系的悟空8  文字                             @所有人 \n⚠【清风抽纸】一个账呺限购1単❗❗\n\n高&#39;端品&#39;质！藏在日常里！赶紧换呺冲[抓狂][抓狂]
13  2026-03-16 10:14:26      言午许  文字                                                                 抢到了，这价格能买到，太牛了[鼓掌][鼓掌][鼓掌]
14  2026-03-16 10:16:41     欧神附体  文字                                                                              喊我朋友帮我抢了，太划算了
15  2026-03-16 10:21:46     桃桃乌龙  文字                                      哇靠，清风这么优惠，拍了拍了[爱心][爱心][玫瑰]简直不要太划算，清风的质量也好，外面超市一包都要四五块
16  2026-03-16 10:23:58  E佛系的悟空8  文字                                           比超&#39;市🛒还划算❗赶紧呛～\n\n🚨 手慢无❗柔感压花 · 湿水不易破~呛到就是赚到 🚨
17  2026-03-16 10:26:33    咕噜咕噜锤  文字                                                                     抽纸是消耗品必拍，谢谢悟空带来的福利[玫瑰]
18  2026-03-16 10:35:46      馒头片  文字                                                                       3块9抢到了[偷笑]拉着儿子一起抢了两单
19  2026-03-16 10:38:18      馒头片  文字                                                                              1包才1块多，还是大品牌的
20  2026-03-16 10:50:10     夹心饼干  文字                                                                     在悟空这买的纸巾都很好，质量杠杠的。[转圈]

============================================================
Sheet: 植护内衣洗
============================================================
                      0                         1   2                                                                                                                                     3
0                    时间                       发送人  类型                                                                                                                                    内容
1   2025-11-04 10:20:43                      E悟空8  文字                                                                                                         📢📢快快快！！【植护】内衣洗衣液我看谁还不知道[抓狂]！！
2   2025-11-04 10:21:19                      E悟空8  文字                                                                    ⭕再说一遍！内 衣洗衣液是必备，不是选择！而是刚`需[加油]\n\n[玫瑰]普通洗衣液的残 留，对“小花 园🌷”的伤 害真的难以想象
3   2025-11-04 10:23:13                      似水流年  文字                                                                                                                        知道也用过，自己买一瓶十几块
4   2025-11-04 10:24:12                        遇见  文字                                                                                                                             好用吗这个[疑问]
5   2025-11-04 10:25:02                      E悟空8  文字                                                                                                              植护  是大品 牌放心！绝 对好用[社会社会]！
6   2025-11-04 10:25:46                      E悟空8  文字                                                                                                           [社会社会]术业有专攻！！内衣洗衣液还是得看【植护】的
7   2025-11-04 10:26:03                      E悟空8  文字                                                            ✔ 0 化学物质\n✔主打就是🩸血 污克星！！\n✔配合天然山茶花提取物\n-\n无残留的同时，除 菌抑 制高 达99.9%🦠，居家必备[加油]！！
8   2025-11-04 10:26:14                      E悟空8  文字                                                                                                         分享好物的同时，姐姐们的健康对我来说更是是重中之重[害羞]
9   2025-11-04 10:26:58                      似水流年  文字                                                                                                               内衣皂洗不掉内裤的黄迹，用这个洗洗就很轻松干净
10  2025-11-04 10:27:57                     一个大猩猩  文字                                                                                                                  [强][强]用过很多家植护的产品都特别好
11  2025-11-04 10:28:53                      E悟空8  文字                                                                                                                        👆👆👆看我之前的验貨视频！！
12  2025-11-04 10:29:04                      E悟空8  文字                                                                                                   去 渍效 果牛，那都是基 础！连黄印子都没有[抓狂]我自用歀，闭眼入🙌
13  2025-11-04 10:29:41                       你兔兔  文字                                                                                                                    上链接上链接[鼓掌][鼓掌][鼓掌]
14  2025-11-04 10:29:44                      似水流年  文字                                                                                                                      对，也很好清水，不会怎么残留泡沫
15  2025-11-04 10:31:12                   E佛系的悟空8  文字       [礼物]植护旗舰店内衣洗衣液\n-\n✅植护大品簰，除~菌率99%，500ml大瓶装 💰4.9亓撸\n-\n⭕点击🔗：https://c-01.cn/BkWt7J\n-\n📢📢专业内衣洗护，平常没有的力度！抓紧帕！！\n保质期2年！！！2年！！！[抓狂]
16  2025-11-04 10:34:25                      欧神附体  文字                                                                                                                                    已拍
17  2025-11-04 10:34:39                      似水流年  文字                                                                                                                      已拍，这个洗宝宝奶渍、血渍也好用
18  2025-11-04 10:42:11                     一个大猩猩  文字                                                                                                              已下单[胜利]跟家人一共买了3瓶，太实惠了这价格
19  2025-11-04 10:42:23  25984984029570018@openim  文字                                                                                                             @A👍   🤗静 姐咱重新点击连接进去刷新一下哦~
20  2025-11-04 10:42:31                       你兔兔  文字                                                                                                                               已下单[胜利]
21  2025-11-04 10:42:48                        遇见  文字                                                                                                                            拍到了，谢谢悟空群主
22  2025-11-04 10:42:57                       刘亚晴  文字                                                                                                                                    已拍
23  2025-11-04 10:43:43       wxid_ftbp7jbv38cz22  文字                                                                                                                                   拍到了
24  2025-11-04 10:43:51                      似水流年  文字                                                                                                                      拉几个朋友，他们也要同意一下悟空
25  2025-11-04 10:44:49                  chenxilx  文字                                                                                                                                   拍到了
26  2025-11-04 10:45:33                      E悟空8  文字                                                                                 正在学习帕的朋友看上面的视频教程[爱心]已拍+晒图哦！大家不要潜水❗❗噜到记得回 群反 馈[抱拳][抱拳]
27  2025-11-04 10:47:24                     棒棒糖很甜  文字                                                                                                                               这么便宜，买了
28  2025-11-04 10:47:32                      半糖主义  文字                                                                                                                                    已拍
29  2025-11-04 10:48:28       wxid_ofejjunv005a22  文字                                                                                                                                再发一下链接
30  2025-11-04 10:48:56                        浅冬  文字                                                                                                                      已拍3瓶，和爸妈每一个账号都买了
31  2025-11-04 10:49:13  25984984029570018@openim  文字  @宋燕霞 [礼物]植护旗舰店内衣洗衣液\n-\n✅植护大品簰，除~菌率99%，500ml大瓶装 💰4.9亓撸\n-\n⭕点击🔗：https://c-01.cn/BkWt7J\n-\n📢📢专业内衣洗护，平常没有的力度！抓紧帕！！\n保质期2年！！！2年！！！[抓狂]
32  2025-11-04 10:51:03       wxid_ikok715s5egp22  文字                                                                                                                               已拍内衣洗衣液
33  2025-11-04 10:52:15                     林西西很棒  文字                                                                                                                              这个价格太给力了
34  2025-11-04 10:53:28                     蜜桃小丸子  文字                                                                                                                    群主为啥我只能拍一单，怎么能多买呢？
35  2025-11-04 10:54:18                      E悟空8  文字                                                                                                      ✅【一人限购一単】！多噜换号❗❗❗或者啦家人朋友一起进来`薅！！
36  2025-11-04 10:54:29                      E悟空8  文字                                                                                                                    呛到稳赚~活冻忦随时黄，都闭眼去买！
37  2025-11-04 10:54:57                      E悟空8  文字                                                                                 正在学习帕的朋友看上面的视频教程[爱心]已拍+晒图哦！大家不要潜水❗❗噜到记得回 群反 馈[抱拳][抱拳]
38  2025-11-04 10:56:47                      一个大福  文字                                                                                                                                    已拍
39  2025-11-04 10:58:36                       刚刚好  文字                                                                                                                        好便宜，感谢悟空老板[抱拳]
40  2025-11-04 11:00:13       wxid_papz9ycdhqbz22  文字                                                                                                                                    已拍
41  2025-11-04 11:00:30       wxid_30zez13hun2v22  文字                                                                                                                               已拍植护洗衣液
42  2025-11-04 11:01:07                     冰冰乐福绵  文字                                                                                                                    已拍，这个价格太划算了[胜利]真便宜
43  2025-11-04 11:02:51                       馒头片  文字                                                                                                                           抢到了，谢谢[强]实惠
44  2025-11-04 11:03:46                       馒头片  文字                                                                                               我邀请家里人进来拍，之前买过很好用，洗的干净，味道也香，4.9捡到漏了[憨笑]
45  2025-11-04 11:06:34                     程璐向前冲  文字                                                                                                                 真的很便宜，植护的东西好，换淘宝号拍了2单
46  2025-11-04 11:08:23                       你兔兔  文字                                                                                                                          我拉了五个朋友进群一起抢
47  2025-11-04 11:08:54                      哇塞哇塞  文字                                                                                                              前两天去超市买一瓶都要15.9，在悟空这能买3瓶
48  2025-11-04 11:11:10                      欧神附体  文字                                                                                                                         我也邀请了四个人，真划算啊
49  2025-11-04 11:13:49                       小幸运  文字                                                                                                            好用的[强]我家一直在用它，洗的干净，内裤也不会发硬
50  2025-11-04 11:14:13                       小丸子  文字                                                                                                                        有人用过吗，好不好用[呲牙]
51  2025-11-04 11:15:19                       不离十  文字                                                                                                                          确实挺好，很香性价比蛮高
52  2025-11-04 11:16:17                      E悟空8  文字                                                                                    👆【植护内衣洗衣液】库存还有，看上方⬆教程视频，记得点开蓝色连接，跟着视频一步步操作[抱拳][抱拳]
53  2025-11-04 11:16:28                      E悟空8  文字                                                                                              看完教程视频，还是有遇到问题的家人们，可以@我，在 线解答[胜利]包教包会❗❗❗
54  2025-11-04 11:19:02                     咕噜咕噜锤  文字                                                                                                                     已拍，平时十几今天只要4块多必须入
55  2025-11-04 11:19:28       wxid_d6pgzs3jy2eh22  文字                                                                                                                                    已拍
56  2025-11-04 11:20:08                      夹心饼干  文字                                                                                                                            [捂脸]姨妈血好洗不
57  2025-11-04 11:22:53                       幸运星  文字                                                                                                   血渍很好洗，我都是挤几泵然后放一两分钟，再去搓很容易就洗掉，也不会留印
58  2025-11-04 11:25:38                       幸运星  文字                                                                                                               来姨妈的血都不要去用热水烫，这样用什么都洗不掉
59  2025-11-04 11:26:49                      E悟空8  文字                                                                                                         像难搞的姨妈渍、宝宝衣服上的奶渍、尿渍植护也能轻松拿下 🤏
60  2025-11-04 11:26:59                      E悟空8  文字                                                                                                                    成芬温和除 菌率99%❗母婴医.用级
61  2025-11-04 11:27:39                   E佛系的悟空8  文字       [礼物]植护旗舰店内衣洗衣液\n-\n✅植护大品簰，除~菌率99%，500ml大瓶装 💰4.9亓撸\n-\n⭕点击🔗：https://c-01.cn/BkWt7J\n-\n📢📢专业内衣洗护，平常没有的力度！抓紧帕！！\n保质期2年！！！2年！！！[抓狂]
62  2025-11-04 11:28:34                      E悟空8  文字                                                                                    这款自己在用！“无自用，不分享✊”\n\n掏心窝子把真心💓献给大家[爱心]！把健康带给大家！[加油]
63  2025-11-04 11:30:31                      随心所欲  文字                                                                                                                          拍了拍了，群主给力[强]
64  2025-11-04 11:32:04                      三分淑女  文字                                                                                                                   已拍，群主，大门开开，我拉了六个人进群
65  2025-11-04 11:33:57                      是小夹心  文字                                                                                                   已拍，谢谢群主的真心，虽然认识短暂，字里行间却能感觉到群主的真诚[强]
66  2025-11-04 11:34:12                       女汉子  文字                                                                                                                                    已拍
67  2025-11-04 11:36:36                       小刘佳  文字                                                                                                                                    已拍
68  2025-11-04 11:39:29                      E悟空8  文字                                                                                 ✅【一人限·购一単】！多噜换·号❗❗❗或者邀家人朋友一起进来·薅！！呛到稳赚~活冻忦随时黄，都闭眼去买！！
69  2025-11-04 11:39:50                      E悟空8  文字                                                                             正在学习拍的朋友看上面的视频教程[爱心]已拍+晒图哦！\n\n大家不要潜水❗❗噜到记得回 群反 馈[抱拳][抱拳]
70  2025-11-04 11:41:41                      一川月白  文字                                                                                                                 已拍，洗贴身衣物还是得用专门的洗衣液[强]
71  2025-11-04 11:45:34                        丽莎  文字                                                                                                                          拍了[笑脸]大品牌值得买
